Име - Категория,Име - Група,Име артикул,Брой в опаковка артикул,Минимално количество за поръчка артикул
Без група,Без група,,0,0
Разни,Услуги,Услуга,0,0
Разни,Опаковки,Офис шкаф за класьори,1,1
Винтонавивна техника,Накрайници,Накрайник камък 5.0 х 65,1,1
Винтонавивна техника,Накрайници,"Накрайник камък 12.0 мм/6-стен/ - 1/4"" - Tona",1,1
Винтонавивна техника,Накрайници,"Накрайник камък 13.0 мм/6-стен/ - 1/4"" - Tona",1,1
Винтонавивна техника,Накрайници,"Камък 13 mm удължен/L 79/-1/2""",1,1
Винтонавивна техника,Накрайници,"Камък TX 30/L 55? - 1/2""",1,1
Разни,Измервателни уреди,Ролетка 3 м. Ius & Mob,1,1
Разни,Измервателни уреди,Ролетка 5 m / 19 mm - Mob,1,1
Разни,Измервателни уреди,Ролетка 8м. IUS/MOB,1,1
Разни,Чукове,Чук шлосерски 0.300 кг / дървена дръжка - Juko,1,1
Разни,Чукове,Чук шлосерски 0.500 кг / дървена дръжка - Juko,1,1
Разни,Чукове,Чук шлосерски 0.800 кг / дървена дръжка - Juko,1,1
Разни,Чукове,Чук шлосерски 1.000 кг / дървена дръжка - Juko,1,1
Разни,Чукове,Чук шлосерски 2.000 кг/ дървена дръжка - Juco,1,1
Разни,Чукове,Чук шлосерски 1.500 кг/ дървена дръжка - Juco,1,1
Разни,Отверки,Отверка PZ2 x 100 HSW - зелена,0,0
Разни,Отверки,Отверка PH2 x 100 HSW - черна,0,0
Разни,Отверки,Комплект отверки 5 бр. / черни дръжки/ - HSW,1,1
Разни,Отверки,Комплект отверки 6 бр. HSW,1,1
Винтонавивна техника,Накрайници,"Камък 21.0 мм - ударен CrMo - 1/2""",1,1
Винтонавивна техника,Накрайници,Комплект накрайници 62 бр. /кутия/ - Tona,0,0
Винтонавивна техника,Накрайници,Ключ Г-образен Tx 15 -L54 Ius,1,1
Разни,Ключове,"Камък 8.0 mm./6-стен/ -1/2"" Tona",1,1
Разни,Ключове,"Камък 10.0 mm./6-стен/ -1/2"" Tona",1,1
Разни,Ключове,"Камък 11.0 mm./6-стен/ -1/2"" Tona",1,1
Разни,Ключове,"Камък 12.0 mm./6-стен/ -1/2"" Tona",1,1
Разни,Ключове,"Камък 13.0 mm./6-стен/ -1/2"" Tona",1,1
Разни,Ключове,"Камък 17.0 mm./6-стен/ -1/2"" Tona",1,1
Винтонавивна техника,Накрайници,"Удължител 250 mm - 1/2""",1,1
Винтонавивна техника,Накрайници,"Камък 13.0 мм. ударен CrMo 1/2"" - Ius*mob",1,1
Винтонавивна техника,Накрайници,"Камък 15.0 мм. ударен CrMo 1/2"" - Ius*mob",1,1
Разни,Ключове,Ключ имбусен 6.0 мм - Tona,1,1
Разни,Ключове,Ключ имбусен 7.0 мм - Tona,1,1
Разни,Ключове,Ключ имбусен 8.0 мм - Tona,1,1
Разни,Ключове,"Ключ имбусен 14.0 мм ""Tona""",1,1
Разни,Ключове,"Ключ имбусен 17.0 мм ""Tona""",1,1
Разни,Ключове,"Ключ имбусен 7.0 мм ""Tona""",1,1
Разни,Ключове,"Ключове имбусни 1.5 - 12.0  мм ""Tona"" к-т 10бр.",1,1
Разни,Ключове,"Ключове имбусни 1.5 - 10.0  мм ""Tona"" к-т",0,0
Разни,Ключове,"Гидория 6.0 - 22.0 mm. - 3/8 """,1,1
